locus	sex	_sex	log2fluor	Foldx	scaffold	start location
FBtr0167233	male	female	-1.3878	0.382147103	3536	88
FBtr0161951	male	female	0.7999	1.740980447	3633	321
FBtr0161200	male	female	1.3443	2.539069702	3753	190
FBtr0165221	male	female	1.9088	3.754966404	3877	467
FBtr0162003	male	female	-0.8321	0.561711015	3977	3376
FBtr0165240	male	female	3.1391	8.809743409	4016	612
FBtr0165265	male	female	0.829	1.776453592	4023	1974
FBtr0172596	male	female	-1.9648	0.256174717	4057	235
FBtr0162011	male	female	1.3512	2.551242436	4113	3669
FBtr0167831	male	female	0.8969	1.862060567	4152	134
FBtr0167465	male	female	0.6553	1.574943419	4180	4687
FBtr0164720	male	female	-0.6231	0.649274296	4189	3282
FBtr0164721	male	female	0.9366	1.914012166	4189	31
FBtr0165314	male	female	0.6301	1.547672266	4191	2676
FBtr0168019	male	female	1.4379	2.709262157	4207	3327
FBtr0165011	male	female	-0.6341	0.644342651	4242	86
FBtr0164986	male	female	-0.836	0.560194607	4315	14284
FBtr0172559	male	female	3.7047	13.03844577	4401	4227
FBtr0165324	male	female	0.987	1.982059127	4424	68
FBtr0172593	male	female	-0.6499	0.637324488	4451	50
FBtr0162560	male	female	2.7087	6.537323088	4485	4485
FBtr0162670	male	female	0.6515	1.570800541	4485	4485
FBtr0172627	male	female	0.7572	1.690207065	4494	694
FBtr0172134	male	female	7.8788	235.37218	4536	2518
FBtr0165311	male	female	-0.9534	0.516413994	4636	788
FBtr0169048	male	female	-0.6445	0.63971446	4658	3962
FBtr0172573	male	female	1.1819	2.268753706	4719	5276
FBtr0167236	male	female	0.6845	1.607144891	4725	4613
FBtr0165301	male	female	-1.2918	0.408441114	4734	8465
FBtr0168315	male	female	-1.2998	0.406182503	4739	174
FBtr0161983	male	female	-1.4237	0.372755101	4764	1288
FBtr0165309	male	female	0.5968	1.512358325	4884	7782
FBtr0172595	male	female	7.8307	227.6541581	4889	2808
FBtr0164972	male	female	0.6194	1.536236146	4968	9792
FBtr0168545	male	female	0.5939	1.509321347	5062	442
FBtr0167680	male	female	3.8972	14.89958249	5159	10
FBtr0164719	male	female	1.2843	2.435638461	5305	687
FBtr0172605	male	female	-0.6022	0.658748648	5597	454
FBtr0161588	male	female	0.8614	1.81680049	5647	1391
FBtr0169046	male	female	0.8609	1.816170944	5676	2399
FBtr0168456	male	female	0.6949	1.618772224	5729	3022
FBtr0172622	male	female	1.3055	2.47169375	5760	1083
FBtr0165290	male	female	0.721	1.64832417	5832	2947
FBtr0169025	male	female	2.5339	5.79135125	5947	2148
FBtr0169026	male	female	-1.4135	0.375399856	5947	7
FBtr0172586	male	female	-0.8484	0.555400353	5951	70
FBtr0172098	male	female	-1.3137	0.40228783	5978	561
FBtr0172099	male	female	-1.3127	0.402566772	5978	27
FBtr0161992	male	female	-0.6183	0.651438098	5981	20
FBtr0172641	male	female	-1.0527	0.482065136	5988	4791
FBtr0167642	male	female	-1.5863	0.333024449	5990	162
FBtr0172616	male	female	-2.7433	0.149342842	6003	1021
FBtr0172074	male	female	-0.8395	0.558837214	6005	500
FBtr0162018	male	female	-1.9044	0.267127424	6006	626
FBtr0172561	male	female	7.4208	171.3497171	6111	39597
FBtr0161311	male	female	-1.8566	0.27612626	6135	63
FBtr0172086	male	female	0.7529	1.685176847	6156	45
FBtr0165283	male	female	-1.4237	0.372755101	6164	1013
FBtr0165268	male	female	-0.6476	0.638341346	6170	744
FBtr0165269	male	female	-1.3215	0.400118711	6170	2248
FBtr0164991	male	female	-1.1207	0.459870641	6198	168
FBtr0164973	male	female	4.4807	22.32672903	6200	13082
FBtr0161949	male	female	-1.4806	0.358339752	6248	429
FBtr0165275	male	female	1.0857	2.12240503	6271	6442
FBtr0161971	male	female	0.9469	1.927725991	6287	3695
FBtr0172143	male	female	2.1457	4.425069149	6289	3085
FBtr0165253	male	female	0.6296	1.547135977	6304	1970
FBtr0161617	male	female	3.0304	8.170361997	6308	7776274
FBtr0161618	male	female	1.7203	3.295049184	6308	7774683
FBtr0161619	male	female	-2.9249	0.131679256	6308	7760121
FBtr0161620	male	female	-3.5421	0.085846314	6308	7691982
FBtr0161621	male	female	-1.476	0.359484133	6308	7683139
FBtr0161625	male	female	-1.6648	0.315388071	6308	7644452
FBtr0161626	male	female	-1.1431	0.452785606	6308	7642040
FBtr0161628	male	female	-1.0091	0.496856106	6308	7569929
FBtr0161629	male	female	-1.1398	0.453822486	6308	7549464
FBtr0161630	male	female	-1.2456	0.421732468	6308	7514870
FBtr0161631	male	female	-1.238	0.423959982	6308	7482323
FBtr0161632	male	female	1.0953	2.136575058	6308	7467037
FBtr0161634	male	female	-1.388	0.38209413	6308	7460102
FBtr0161636	male	female	0.9312	1.906861419	6308	7413016
FBtr0161637	male	female	1.3057	2.472036423	6308	7396574
FBtr0161638	male	female	-1.0382	0.486934626	6308	7390490
FBtr0161641	male	female	2.1158	4.334302964	6308	7363157
FBtr0161643	male	female	-0.7727	0.585321022	6308	7299824
FBtr0161645	male	female	-0.9668	0.511639658	6308	7277144
FBtr0161647	male	female	-1.299	0.406407801	6308	7157683
FBtr0161648	male	female	-2.1055	0.232370688	6308	7154510
FBtr0161649	male	female	-2.0301	0.244838103	6308	7147773
FBtr0161652	male	female	-0.8501	0.554746283	6308	7079523
FBtr0161653	male	female	3.5808	11.96542719	6308	7065956
FBtr0161654	male	female	-0.6264	0.647790852	6308	6996331
FBtr0161656	male	female	-1.6922	0.30945467	6308	6970669
FBtr0161657	male	female	0.7765	1.712970136	6308	6964695
FBtr0161658	male	female	-1.1156	0.461499183	6308	6921436
FBtr0161659	male	female	-0.8299	0.562568235	6308	6914933
FBtr0161660	male	female	-0.817	0.567621051	6308	6904833
FBtr0161661	male	female	-1.9775	0.253929515	6308	6872202
FBtr0161663	male	female	0.6392	1.557465278	6308	6859466
FBtr0161664	male	female	2.1311	4.380513507	6308	6817617
FBtr0161667	male	female	-0.7407	0.598448913	6308	6783938
FBtr0161669	male	female	-0.9048	0.534106742	6308	6707466
FBtr0161670	male	female	-1.1023	0.46577335	6308	6705819
FBtr0161671	male	female	-0.9571	0.515091272	6308	6702864
FBtr0161672	male	female	-1.4298	0.371182346	6308	6695229
FBtr0161673	male	female	-0.7354	0.600651466	6308	6689695
FBtr0161674	male	female	-1.2372	0.424195141	6308	6666257
FBtr0161675	male	female	-2.2758	0.206498041	6308	6610903
FBtr0161676	male	female	1.254	2.385017745	6308	6609508
FBtr0161678	male	female	3.0193	8.107740983	6308	6504597
FBtr0161679	male	female	-0.8765	0.544687249	6308	6451938
FBtr0161680	male	female	-0.8776	0.544272104	6308	6349441
FBtr0161683	male	female	-0.824	0.564873607	6308	6278497
FBtr0161685	male	female	-0.6726	0.627375023	6308	6221847
FBtr0161686	male	female	-0.6711	0.628027658	6308	6147795
FBtr0161690	male	female	-0.7323	0.601943507	6308	6132225
FBtr0161693	male	female	1.8589	3.627309881	6308	6000109
FBtr0161696	male	female	-2.2154	0.21532683	6308	5904005
FBtr0161700	male	female	-0.5977	0.660806599	6308	5868153
FBtr0161701	male	female	0.7192	1.646268896	6308	5865103
FBtr0161703	male	female	-1.4539	0.365033304	6308	5857341
FBtr0161704	male	female	-3.0533	0.120466173	6308	5854864
FBtr0161705	male	female	-1.0398	0.486394898	6308	5844654
FBtr0161707	male	female	-0.9159	0.530013128	6308	5826006
FBtr0161708	male	female	-0.6014	0.659114037	6308	5798505
FBtr0161709	male	female	-1.464	0.362486708	6308	5734408
FBtr0161714	male	female	-1.6959	0.308662046	6308	5695691
FBtr0161715	male	female	-1.4406	0.368414053	6308	5690078
FBtr0161717	male	female	-0.8922	0.538791875	6308	5685890
FBtr0161718	male	female	-0.7693	0.586702075	6308	5619166
FBtr0161719	male	female	0.9299	1.905143937	6308	5614487
FBtr0161723	male	female	-0.7087	0.611871242	6308	5493757
FBtr0161724	male	female	-1.0121	0.495823996	6308	5457723
FBtr0161725	male	female	-0.9219	0.527813443	6308	5368098
FBtr0161726	male	female	-0.6135	0.653609111	6308	5339899
FBtr0161729	male	female	-2.294	0.203909373	6308	5310744
FBtr0161731	male	female	-1.781	0.290981634	6308	5295921
FBtr0161733	male	female	-0.7167	0.608487698	6308	5294923
FBtr0161735	male	female	-2.133	0.227983291	6308	5275983
FBtr0161736	male	female	-0.6482	0.638075922	6308	5267031
FBtr0161737	male	female	-0.7921	0.577502861	6308	5250770
FBtr0161738	male	female	-1.1669	0.44537732	6308	5245985
FBtr0161740	male	female	-0.903	0.534773544	6308	5210199
FBtr0161741	male	female	-2.2917	0.204234713	6308	5208219
FBtr0161742	male	female	-1.3687	0.38724003	6308	5202721
FBtr0161744	male	female	-1.9452	0.259678774	6308	5198855
FBtr0161745	male	female	-1.7715	0.292904041	6308	5184651
FBtr0161748	male	female	-1.1682	0.444976176	6308	5148788
FBtr0161749	male	female	-1.5107	0.3509409	6308	5142962
FBtr0161751	male	female	-2.711	0.152724138	6308	5136452
FBtr0161752	male	female	0.687	1.609932275	6308	5099218
FBtr0161755	male	female	-0.6418	0.640912805	6308	5085106
FBtr0161756	male	female	-1.3052	0.404665006	6308	5081355
FBtr0161760	male	female	5.0247	32.55258032	6308	5036509
FBtr0161761	male	female	-0.9558	0.515555626	6308	4977055
FBtr0161763	male	female	1.5121	2.852249131	6308	4874193
FBtr0161764	male	female	-1.1451	0.452158346	6308	4872217
FBtr0161766	male	female	1.2184	2.326885143	6308	4859894
FBtr0161767	male	female	-1.9085	0.266369351	6308	4858414
FBtr0161768	male	female	-1.3035	0.405142124	6308	4814551
FBtr0161771	male	female	-0.8577	0.551831608	6308	4798402
FBtr0161772	male	female	-2.0879	0.235222831	6308	4792686
FBtr0161773	male	female	-2.0271	0.245347759	6308	4787984
FBtr0161774	male	female	-2.6523	0.159066287	6308	4785603
FBtr0161775	male	female	-1.2947	0.40762092	6308	4775873
FBtr0161777	male	female	0.835	1.783857039	6308	4760015
FBtr0161779	male	female	-1.1478	0.451312925	6308	4636383
FBtr0161780	male	female	-0.7743	0.58467224	6308	4634018
FBtr0161781	male	female	-1.6873	0.310507496	6308	4626935
FBtr0161783	male	female	3.0453	8.255181873	6308	4616976
FBtr0161784	male	female	-1.1202	0.460030047	6308	4614831
FBtr0161785	male	female	-1.1866	0.439337027	6308	4582728
FBtr0161786	male	female	0.6114	1.527741019	6308	4543973
FBtr0161788	male	female	0.7682	1.703143505	6308	4543125
FBtr0161789	male	female	2.7856	6.89523633	6308	4463406
FBtr0161790	male	female	-0.8301	0.562490252	6308	4491992
FBtr0161791	male	female	-1.3101	0.403292925	6308	4527129
FBtr0161792	male	female	0.6797	1.601806634	6308	4561340
FBtr0161795	male	female	-1.4225	0.373065279	6308	4615767
FBtr0161796	male	female	-6.6276	0.010113317	6308	4618007
FBtr0161797	male	female	1.7233	3.301908175	6308	4619022
FBtr0161799	male	female	-2.1934	0.218635564	6308	4625179
FBtr0161800	male	female	-4.1742	0.055391177	6308	4630334
FBtr0161801	male	female	-2.6019	0.164721411	6308	4649110
FBtr0161802	male	female	1.0162	2.022584532	6308	4652615
FBtr0161805	male	female	-1.8209	0.283044344	6308	4790321
FBtr0161806	male	female	-0.9186	0.529022138	6308	4800616
FBtr0161807	male	female	-1.284	0.41065535	6308	4804138
FBtr0161808	male	female	-1.9233	0.263650749	6308	4810270
FBtr0161810	male	female	-1.0282	0.490321524	6308	4817678
FBtr0161813	male	female	-1.2029	0.434401202	6308	4856647
FBtr0161814	male	female	1.9381	3.832006478	6308	4953971
FBtr0161815	male	female	-1.2349	0.424871948	6308	4992342
FBtr0161817	male	female	-1.2702	0.414602293	6308	5052676
FBtr0161824	male	female	3.4352	10.81678609	6308	5096381
FBtr0161825	male	female	-1.2388	0.423724954	6308	5109295
FBtr0161827	male	female	-2.2315	0.212937213	6308	5140251
FBtr0161828	male	female	-1.802	0.286776756	6308	5145590
FBtr0161830	male	female	-1.8937	0.269115986	6308	5168966
FBtr0161832	male	female	0.7337	1.662898371	6308	5171912
FBtr0161835	male	female	-1.5802	0.334435523	6308	5213326
FBtr0161837	male	female	-1.4017	0.378482893	6308	5258820
FBtr0161838	male	female	-0.6777	0.625161136	6308	5273701
FBtr0161840	male	female	1.0676	2.095943751	6308	5288660
FBtr0161843	male	female	-2.2188	0.214819967	6308	5292751
FBtr0161845	male	female	-1.7432	0.298706389	6308	5303502
FBtr0161846	male	female	2.7106	6.545938282	6308	5312664
FBtr0161847	male	female	-1.4978	0.354092944	6308	5346763
FBtr0161856	male	female	1.3438	2.53818988	6308	5632251
FBtr0161857	male	female	-1.8351	0.280272092	6308	5694404
FBtr0161860	male	female	-2.4123	0.187856117	6308	5772296
FBtr0161865	male	female	-1.3511	0.391993055	6308	5836785
FBtr0161868	male	female	-4.5057	0.04401991	6308	5862727
FBtr0161869	male	female	-0.9785	0.507507131	6308	5869285
FBtr0161872	male	female	-1.0673	0.477211263	6308	5898318
FBtr0161875	male	female	2.2694	4.821225802	6308	5976741
FBtr0161876	male	female	-1.157	0.44844408	6308	6030048
FBtr0161877	male	female	2.6638	6.336999932	6308	6034475
FBtr0161878	male	female	4.9136	30.13984307	6308	6036879
FBtr0161879	male	female	0.8066	1.749084513	6308	6119525
FBtr0161880	male	female	4.3039	19.75163258	6308	6165395
FBtr0161883	male	female	1.1894	2.280578768	6308	6237244
FBtr0161887	male	female	0.9655	1.952740172	6308	6248210
FBtr0161888	male	female	-1.0343	0.488252725	6308	6250740
FBtr0161889	male	female	-0.8669	0.5483238	6308	6253699
FBtr0161893	male	female	-0.6432	0.640291161	6308	6299723
FBtr0161898	male	female	-2.5868	0.166454526	6308	6553913
FBtr0161899	male	female	0.6901	1.613395347	6308	6612881
FBtr0161901	male	female	-1.2078	0.432928295	6308	6708883
FBtr0161903	male	female	-0.7444	0.59691607	6308	6871262
FBtr0161904	male	female	-1.522	0.34820287	6308	6874400
FBtr0161906	male	female	-1.689	0.310141824	6308	6918734
FBtr0161908	male	female	-0.6493	0.637589599	6308	6947908
FBtr0161909	male	female	1.2379	2.358549697	6308	6961795
FBtr0161910	male	female	-3.102	0.116467554	6308	6967216
FBtr0161911	male	female	3.5036	11.34197519	6308	7001564
FBtr0161912	male	female	3.2888	9.772989895	6308	7062489
FBtr0161913	male	female	2.9068	7.499529044	6308	7067796
FBtr0161915	male	female	2.4084	5.308852285	6308	7100723
FBtr0161916	male	female	0.9631	1.949494386	6308	7137296
FBtr0161919	male	female	-1.6955	0.308747637	6308	7150457
FBtr0161920	male	female	1.2515	2.380888403	6308	7152599
FBtr0161922	male	female	-1.6388	0.321123466	6308	7160395
FBtr0161923	male	female	1.9037	3.741715842	6308	7241240
FBtr0161924	male	female	-1.2399	0.423402003	6308	7347831
FBtr0161925	male	female	-0.8757	0.544989372	6308	7352859
FBtr0161926	male	female	-0.6068	0.656651588	6308	7357213
FBtr0161930	male	female	-2.0291	0.245007871	6308	7388849
FBtr0161931	male	female	2.8019	6.973582528	6308	7400793
FBtr0161932	male	female	-1.2581	0.418094219	6308	7541975
FBtr0161933	male	female	-0.8719	0.546426744	6308	7569201
FBtr0161935	male	female	-0.98	0.50697974	6308	7654892
FBtr0161938	male	female	-1.3124	0.402650492	6308	7666498
FBtr0161939	male	female	-0.8955	0.537560859	6308	7678441
FBtr0161942	male	female	-2.7022	0.153658555	6308	7686796
FBtr0161943	male	female	-2.0178	0.246934445	6308	7689628
FBtr0161989	male	female	0.6678	1.588648551	6311	47540
FBtr0161990	male	female	1.2627	2.399443763	6311	51
FBtr0161960	male	female	-0.6473	0.638474099	6314	4058
FBtr0164704	male	female	2.4059	5.299660711	6324	43156
FBtr0166753	male	female	-1.0723	0.475560238	6328	39232
FBtr0166755	male	female	-1.3547	0.391016123	6328	132513
FBtr0166756	male	female	1.8719	3.660142962	6328	146605
FBtr0166757	male	female	-1.2612	0.417196801	6328	149288
FBtr0166758	male	female	-2.3733	0.193003645	6328	161380
FBtr0166761	male	female	-1.2561	0.418674222	6328	195388
FBtr0166766	male	female	2.073	4.207607117	6328	435983
FBtr0166769	male	female	-0.8567	0.552214241	6328	442802
FBtr0166771	male	female	-1.3764	0.385178745	6328	464878
FBtr0166776	male	female	2.8812	7.367626877	6328	622638
FBtr0166777	male	female	-1.1183	0.460636297	6328	642941
FBtr0166779	male	female	2.7718	6.829594867	6328	655216
FBtr0166781	male	female	-1.2343	0.425048684	6328	690118
FBtr0166790	male	female	-0.7934	0.576982713	6328	904584
FBtr0166791	male	female	-1.3467	0.393190399	6328	907244
FBtr0166792	male	female	-1.3413	0.394664867	6328	912288
FBtr0166794	male	female	2.7383	6.672835784	6328	921655
FBtr0166795	male	female	-0.6978	0.616511623	6328	923981
FBtr0166800	male	female	1.6292	3.093414158	6328	960546
FBtr0166802	male	female	3.9781	15.75895538	6328	1046425
FBtr0166804	male	female	-1.4001	0.378902877	6328	1086655
FBtr0166806	male	female	-1.4323	0.370539693	6328	1094309
FBtr0166808	male	female	-2.6017	0.164744248	6328	1101486
FBtr0166809	male	female	2.0965	4.276705901	6328	1212992
FBtr0166810	male	female	0.7202	1.647410398	6328	1215227
FBtr0166811	male	female	-1.5714	0.336481712	6328	1433214
FBtr0166812	male	female	-0.6745	0.626549327	6328	1440602
FBtr0166813	male	female	-1.0979	0.467196056	6328	1448825
FBtr0166814	male	female	-1.3475	0.392972429	6328	1452834
FBtr0166818	male	female	-1.3024	0.405451147	6328	1493540
FBtr0166819	male	female	1.6526	3.143997347	6328	1496941
FBtr0166820	male	female	-1.6463	0.319458404	6328	1512136
FBtr0166821	male	female	2.139	4.404566392	6328	1515899
FBtr0166823	male	female	-0.7835	0.580955675	6328	1590804
FBtr0166825	male	female	-1.3636	0.388611365	6328	1604510
FBtr0166826	male	female	-1.6162	0.326193514	6328	1604955
FBtr0166827	male	female	-0.7086	0.611913656	6328	1607418
FBtr0166830	male	female	-0.7161	0.608740813	6328	1611971
FBtr0166831	male	female	-1.0817	0.472471758	6328	1617890
FBtr0166833	male	female	-1.2939	0.407847015	6328	1636158
FBtr0166834	male	female	-1.5338	0.345366487	6328	1637833
FBtr0166835	male	female	-1.903	0.267386772	6328	1641108
FBtr0166836	male	female	-1.9397	0.26067064	6328	1648415
FBtr0166837	male	female	-1.9997	0.250051991	6328	1651063
FBtr0166838	male	female	-1.3874	0.382253072	6328	1652029
FBtr0166840	male	female	-2.1058	0.232322373	6328	1661721
FBtr0166843	male	female	-0.7361	0.600360099	6328	1685242
FBtr0166844	male	female	-1.2471	0.421294212	6328	1690132
FBtr0166845	male	female	-2.9138	0.132696295	6328	1711017
FBtr0166846	male	female	-1.1297	0.457010748	6328	1715227
FBtr0166851	male	female	-1.8701	0.273554463	6328	1758495
FBtr0166852	male	female	-1.3596	0.38969032	6328	1759863
FBtr0166853	male	female	-0.6133	0.653699727	6328	1778764
FBtr0166854	male	female	3.4195	10.69971156	6328	1802157
FBtr0166855	male	female	3.8713	14.63448427	6328	1821343
FBtr0166856	male	female	-0.8445	0.556903784	6328	1829972
FBtr0166857	male	female	-2.1748	0.22147258	6328	1838451
FBtr0166859	male	female	2.983	7.906285212	6328	1866101
FBtr0166860	male	female	1.8829	3.688156819	6328	1895412
FBtr0166862	male	female	-0.6863	0.621445595	6328	1906994
FBtr0166863	male	female	3.0238	8.133069825	6328	1912528
FBtr0166864	male	female	3.9797	15.77644231	6328	1921356
FBtr0166865	male	female	2.5269	5.763319499	6328	1925943
FBtr0166866	male	female	2.8797	7.359970583	6328	1935352
FBtr0166867	male	female	-4.1934	0.054658891	6328	1947111
FBtr0166868	male	female	-2.9717	0.127476216	6328	1950703
FBtr0166870	male	female	-3.6746	0.078313237	6328	1986126
FBtr0166873	male	female	3.6368	12.43901204	6328	2105446
FBtr0166874	male	female	-2.0575	0.24023196	6328	2124702
FBtr0166875	male	female	-1.8676	0.274028908	6328	2132642
FBtr0166876	male	female	-1.8332	0.280641448	6328	2144889
FBtr0166877	male	female	-0.7347	0.600942974	6328	2148191
FBtr0166880	male	female	-1.1426	0.452942556	6328	2354081
FBtr0166881	male	female	-1.2127	0.431460383	6328	2361393
FBtr0166884	male	female	2.0247	4.069072541	6328	2375305
FBtr0166885	male	female	-2.2516	0.209991087	6328	2392891
FBtr0166886	male	female	-1.2	0.435275282	6328	2411940
FBtr0166887	male	female	-0.7566	0.591889595	6328	2415168
FBtr0166889	male	female	-1.4739	0.360007783	6328	2439658
FBtr0166895	male	female	1.9156	3.772706842	6328	2603915
FBtr0166898	male	female	2.0332	4.093117266	6328	2637155
FBtr0166900	male	female	-1.3472	0.393054153	6328	2683949
FBtr0166903	male	female	-0.764	0.588861395	6328	2799625
FBtr0166904	male	female	-0.7579	0.591356488	6328	2804914
FBtr0166907	male	female	2.5636	5.911810396	6328	2831876
FBtr0166909	male	female	2.235	4.707626949	6328	2878004
FBtr0166910	male	female	3.7646	13.59119119	6328	2883775
FBtr0166911	male	female	-1.1126	0.462459842	6328	2889521
FBtr0166912	male	female	-2.7607	0.147552472	6328	2918710
FBtr0166917	male	female	-1.6146	0.326555475	6328	3046328
FBtr0166918	male	female	-0.6705	0.628288901	6328	3067760
FBtr0166920	male	female	-2.369	0.193579757	6328	3100520
FBtr0166921	male	female	-1.9314	0.262174632	6328	3107850
FBtr0166922	male	female	0.9065	1.874492431	6328	3113369
FBtr0166925	male	female	-1.9246	0.263413283	6328	3149156
FBtr0166926	male	female	-0.7115	0.610684867	6328	3151303
FBtr0166928	male	female	-2.7643	0.147184739	6328	3206189
FBtr0166929	male	female	-1.6704	0.314166226	6328	3213299
FBtr0166930	male	female	-0.7669	0.587678898	6328	3218059
FBtr0166934	male	female	2.7123	6.553656236	6328	3279430
FBtr0166937	male	female	2.2408	4.726590898	6328	3419148
FBtr0166939	male	female	-1.2776	0.412481123	6328	3431115
FBtr0166940	male	female	-1.6705	0.314144451	6328	3448476
FBtr0166941	male	female	3.922	15.15792113	6328	3458932
FBtr0166942	male	female	-1.2172	0.430116684	6328	3465555
FBtr0166943	male	female	-2.0926	0.234457771	6328	3481999
FBtr0166944	male	female	-0.9492	0.517919578	6328	3486208
FBtr0166945	male	female	-3.8334	0.070150636	6328	3490641
FBtr0166946	male	female	-1.2242	0.4280348	6328	3497529
FBtr0166947	male	female	-1.5791	0.334690614	6328	3505992
FBtr0166950	male	female	-0.716	0.608783009	6328	3539386
FBtr0166954	male	female	-1.1615	0.447047489	6328	3634854
FBtr0166956	male	female	-1.7127	0.305088562	6328	3665313
FBtr0166958	male	female	-0.9263	0.526206144	6328	3709281
FBtr0166962	male	female	-2.0066	0.248858919	6328	3818830
FBtr0166964	male	female	-1.2185	0.429729284	6328	3832066
FBtr0166965	male	female	-3.7798	0.072805942	6328	3836874
FBtr0166966	male	female	2.3994	5.275837028	6328	3840801
FBtr0166967	male	female	3.8664	14.58486371	6328	3842525
FBtr0166968	male	female	-1.1668	0.445408193	6328	3878921
FBtr0166969	male	female	-2.7001	0.153882385	6328	3890356
FBtr0166972	male	female	-1.3295	0.397906122	6328	3939151
FBtr0166974	male	female	3.159	8.932103696	6328	3944160
FBtr0166975	male	female	-1.2291	0.42658348	6328	3958390
FBtr0166976	male	female	-0.6174	0.651844613	6328	3959692
FBtr0166977	male	female	-0.6135	0.653609111	6328	3969918
FBtr0166981	male	female	0.804	1.745935182	6328	4017981
FBtr0166983	male	female	0.6482	1.567211621	6328	4023442
FBtr0166984	male	female	0.8147	1.758932354	6328	4024704
FBtr0166985	male	female	2.6307	6.193264236	6328	4035036
FBtr0166986	male	female	-3.0653	0.119468319	6328	4028319
FBtr0166987	male	female	-3.1159	0.115350807	6328	4048765
FBtr0166988	male	female	-1.1715	0.443959507	6328	4070121
FBtr0166989	male	female	-0.6228	0.649409322	6328	4113507
FBtr0166990	male	female	1.2563	2.388823064	6328	4163709
FBtr0166991	male	female	4.6626	25.32692462	6328	4180663
FBtr0166992	male	female	3.2342	9.41003442	6328	4211019
FBtr0166995	male	female	1.3511	2.551065604	6328	4249697
FBtr0166996	male	female	-2.9876	0.126079009	6328	4259900
FBtr0166997	male	female	-0.5994	0.660028396	6328	4295254
FBtr0166998	male	female	-1.7606	0.295125401	6328	4345279
FBtr0167000	male	female	-0.9167	0.529719308	6328	4352751
FBtr0167002	male	female	2.1721	4.50678929	6328	4410272
FBtr0167003	male	female	3.8247	14.16933357	6328	4409996
FBtr0167004	male	female	-1.9386	0.260869467	6328	3479217
FBtr0167005	male	female	-1.1053	0.464805808	6328	4346836
FBtr0167007	male	female	0.7118	1.637846326	6328	4306419
FBtr0167008	male	female	-0.7752	0.584307616	6328	4278190
FBtr0167009	male	female	-3.8285	0.070389302	6328	4267662
FBtr0167010	male	female	-3.716	0.076097876	6328	4263914
FBtr0167011	male	female	2.8157	7.040607903	6328	4236021
FBtr0167014	male	female	0.9082	1.876702541	6328	4082881
FBtr0167016	male	female	-2.3241	0.199699137	6328	4055290
FBtr0167017	male	female	-0.6743	0.626636191	6328	4051115
FBtr0167018	male	female	-1.5647	0.338047996	6328	4026961
FBtr0167019	male	female	-1.4394	0.368720619	6328	3989863
FBtr0167021	male	female	1.1281	2.185706975	6328	3966948
FBtr0167022	male	female	-1.8503	0.277334692	6328	3947376
FBtr0167025	male	female	-1.0051	0.498235595	6328	3930920
FBtr0167027	male	female	1.1751	2.258085323	6328	3888231
FBtr0167029	male	female	-0.9172	0.529535753	6328	3882054
